Answer ID,Answer,Attachment Ids,NodeID,Node Title,Parent ID,ParentTitle
1_node_36_1561725264590__1_1,"The email address you provided is in an invalid format. Unfortunately, I cannot send you any documents by email. :(",,node_36_1561725264590,,node_34_1561725264590,DE_agent_email_invalid
2_node_35_1561725264590__1_1,$ bad_email_response,,node_35_1561725264590,,node_34_1561725264590,DE_agent_email_invalid
3_node_48_1561725929320_DE_agent_email_save_message_ask_1_1,Many thanks. Please briefly describe your concern:,,node_48_1561725929320,DE_agent_email_save_message_ask,node_10_1561725264589,DE_agent_email_ask_followup
4_node_11_1561725264589_DE_agent_email_cancel_1_1,No problem.,,node_11_1561725264589,DE_agent_email_cancel,node_10_1561725264589,DE_agent_email_ask_followup
5_response_11_1585444713891__1_1,"<speak> More than two people may not be outside together - unless they are members of the same household. So go for a walk with a friend, yes, not three. Wherever possible, keep a minimum distance of at least 1.5 meters from all others in order to reduce the spread of coronavirus. Outside is still allowed: jogging rounds, romping around with your own children or going for a walk. So sport and exercise in the fresh air - but individually. The way to work or to the emergency care of the children remains allowed, shopping, visits to the doctor, on necessary appointments and exams, help for others. You can only have food delivered to your home or pick it up and eat it at home. Hairdressers, beauty salons, massage practices and tattoo studios must remain closed.",,response_11_1585444713891,,node_9_1585444713891,DE_quarantine_when_who_howlong_followup
6_response_11_1585444713891__2_1,"<p> More than two people may not be outside together - unless they are members of the same household. So go for a walk with a friend, not three of us. Wherever possible, keep a minimum distance of at least 1.5 meters from all others in order to reduce the spread of coronavirus. Outside is still allowed: jogging rounds, romping around with your own children or going for a walk. So sport and exercise in the fresh air - but individually. The way to work or to the emergency care of the children remains allowed, shopping, visits to the doctor, on necessary appointments and exams, help for others. You can only have food delivered to your home or pick it up and eat it at home. Hairdressers, beauty salons, massage practices and tattoo studios must remain closed. You can find out more on the website of the Federal Government. <a href='https://www.zdf.de/nachrichten/politik/coronavirus-ausgangsbeschraenken-verschaerfung-ueberblick-100.html' target='_blank'> (1) </a> </p>",,response_11_1585444713891,,node_9_1585444713891,DE_quarantine_when_who_howlong_followup
7_response_11_1585444713891__3_1,,1_response_11_1585444713891_,response_11_1585444713891,,node_9_1585444713891,DE_quarantine_when_who_howlong_followup
8_response_11_1585444713891__4_1,,2_response_11_1585444713891_,response_11_1585444713891,,node_9_1585444713891,DE_quarantine_when_who_howlong_followup
9_response_10_1585444713891__1_1,"<speak> Anyone who has been ordered to quarantine because they are infected or there is a risk of being infected is obliged to stay at home and keep distance from third parties. The person concerned must not leave the house for shopping or walking the dog. Relatives can support the contact person in everyday life, for example by making purchases. </speak>",,response_10_1585444713891,,node_9_1585444713891,DE_quarantine_when_who_howlong_followup
10_response_10_1585444713891__2_1,"<p> Anyone who has been ordered to quarantine because they are infected or there is a risk of being infected is obliged to stay at home and keep distance from third parties. The person concerned must not leave the house for shopping or walking the dog. Relatives can support the contact person in everyday life, for example by making purchases. <a href='https://www.rki.de/SharedDocs/FAQ/NCOV2019/FAQ_Liste.html' target='_blank'> (1) </a> </p>",,response_10_1585444713891,,node_9_1585444713891,DE_quarantine_when_who_howlong_followup
11_response_10_1585444713891__3_1,,3_response_10_1585444713891_,response_10_1585444713891,,node_9_1585444713891,DE_quarantine_when_who_howlong_followup
12_response_4_1584113144215__1_1,"<speak> Unfortunately, I couldn't find anything you were looking for. Take a look at the website of the Federal Ministry of Health or the Robert Koch Institute for more information. </speak>",,response_4_1584113144215,,node_5_1584113093000,validate_code_200
13_response_4_1584113144215__2_1,Unfortunately I could not find anything you are looking for. Take a look at the website of the Federal Ministry of Health or the Robert Koch Institute for more information,,response_4_1584113144215,,node_5_1584113093000,validate_code_200
14_response_4_1584113144215__3_1,,4_response_4_1584113144215_,response_4_1584113144215,,node_5_1584113093000,validate_code_200
15_response_6_1584113125391__1_1,<speak> I just checked the websites of the Federal Ministry of Health and the Robert Koch Institute and found a link where you can find out more. You will find this shown. </speak>,,response_6_1584113125391,,node_5_1584113093000,validate_code_200
16_response_6_1584113125391__2_1,I have just checked the websites of the Federal Ministry of Health and the Robert Koch Institute and found a link where you can find out more. You will find this displayed.,,response_6_1584113125391,,node_5_1584113093000,validate_code_200
17_response_6_1584113125391__3_1,"<? $ form_result [""data""]?>",,response_6_1584113125391,,node_5_1584113093000,validate_code_200
18_node_29_1550518168085_DE_bot_fear_1_1,<speak> I don't like being afraid of something. I think it is important to keep calm and not panic. </speak>,,node_29_1550518168085,DE_bot_fear,node_23_1550516451147,DE_bot_traits
